respondent_id,interviewer_id,supervisor,interview_date,duration_minutes,consent,age,gender,province,phone,email,employment_status,monthly_income,marital_status,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,open_ended
24592,INT001,Sarah Mokoena,2024-08-23,22,Yes,45.0,Female,Northern Cape,0799563838,resp24592@survey.co.za,Retired,31985.0,Widowed,1,3,5,2,5,5,5,2,3,3,I enjoyed the experience and would recommend it to others.
13278,INT001,Sarah Mokoena,2024-07-29,28,Yes,46.0,Other,Limpopo,0716316334,resp13278@survey.co.za,Student,14492.0,Divorced,2,3,4,5,5,4,1,1,2,3,"Reasonable experience, though waiting times were a bit long."
46048,INT001,Sarah Mokoena,2024-06-27,30,Yes,,Female,Mpumalanga,0612070258,resp46048@survey.co.za,Retired,32131.0,Single,2,2,1,2,2,3,1,2,2,4,The service was very helpful and professional overall.
42098,INT001,Sarah Mokoena,2024-07-14,17,Yes,47.0,Other,Western Cape,,resp42098@survey.co.za,Student,15176.0,Divorced,1,4,3,2,2,3,4,2,2,5,"Good service delivery, the staff were knowledgeable."
39256,INT001,Sarah Mokoena,2024-08-28,28,Yes,51.0,Other,Limpopo,0734810582,resp39256@survey.co.za,Employed,,Widowed,5,2,5,5,4,5,4,5,5,3,"Staff were friendly, responsive, and easy to work with."
28289,INT001,Sarah Mokoena,2024-06-03,18,Yes,45.0,Female,Limpopo,0828221506,resp28289@survey.co.za,Student,5006.0,Married,5,2,3,3,4,5,1,4,4,3,The service was very helpful and professional overall.
23434,INT001,Sarah Mokoena,2024-10-11,27,Yes,,Female,Eastern Cape,0825561139,resp23434@survey.co.za,Student,33646.0,Divorced,4,2,2,4,4,2,3,1,4,2,"Reasonable experience, though waiting times were a bit long."
81482,INT001,Sarah Mokoena,2024-10-15,18,Yes,34.0,Male,KwaZulu-Natal,,resp81482@survey.co.za,Employed,34841.0,Divorced,5,4,3,5,4,2,3,1,2,1,"Staff were friendly, responsive, and easy to work with."
21395,INT001,Sarah Mokoena,2024-06-09,14,Yes,30.0,Other,Free State,0712345920,resp21395@survey.co.za,Unemployed,,Single,2,1,4,2,3,4,3,4,3,4,"Staff were friendly, responsive, and easy to work with."
87397,INT001,Sarah Mokoena,2024-09-26,29,Yes,47.0,Male,Northern Cape,0812576392,resp87397@survey.co.za,Unemployed,,Widowed,3,4,1,1,2,4,4,2,1,2,"Reasonable experience, though waiting times were a bit long."
